league,season,team,player,nation,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
Premier League,2019-20,Aston Villa,Trézéguet,EGY,24,1994,34,20,1950,21.7,6,1,7,6,0,0,4,1,0.28,0.05,0.32,0.28,0.32
Premier League,2019-20,Bournemouth,Andrew Surman,ENG,32,1986,5,2,235,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Premier League,2019-20,Bournemouth,Arnaut Danjuma,NED,22,1997,14,6,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2019-20,Bournemouth,Dan Gosling,ENG,29,1990,24,14,1264,14.0,3,1,4,3,0,0,3,0,0.21,0.07,0.28,0.21,0.28
Premier League,2019-20,Bournemouth,David Brooks,WAL,22,1997,9,8,506,5.6,1,0,1,1,0,0,1,0,0.18,0.0,0.18,0.18,0.18
Premier League,2019-20,Bournemouth,Harry Wilson,WAL,22,1997,31,20,1646,18.3,7,0,7,7,0,0,2,0,0.38,0.0,0.38,0.38,0.38
Premier League,2019-20,Bournemouth,Jefferson Lerma,COL,24,1994,33,31,2703,30.0,1,2,3,1,0,0,13,1,0.03,0.07,0.1,0.03,0.1
Premier League,2019-20,Bournemouth,Jordon Ibe,ENG,23,1995,2,0,50,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2019-20,Bournemouth,Joshua King,NOR,27,1992,26,24,2011,22.3,6,4,10,3,3,3,0,0,0.27,0.18,0.45,0.13,0.31
Premier League,2019-20,Bournemouth,Junior Stanislas,ENG,29,1989,15,7,712,7.9,3,0,3,2,1,1,1,0,0.38,0.0,0.38,0.25,0.25
Premier League,2019-20,Bournemouth,Lewis Cook,ENG,22,1997,27,14,1352,15.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0
Premier League,2019-20,Bournemouth,Philip Billing,DEN,23,1996,34,29,2530,28.1,1,1,2,1,0,0,8,0,0.04,0.04,0.07,0.04,0.07
Premier League,2019-20,Bournemouth,Ryan Fraser,SCO,25,1994,28,21,2067,23.0,1,4,5,1,0,0,2,0,0.04,0.17,0.22,0.04,0.22
Premier League,2019-20,Brighton,Aaron Mooy,AUS,28,1990,31,25,2085,23.2,2,2,4,2,0,0,3,1,0.09,0.09,0.17,0.09,0.17
Premier League,2019-20,Brighton,Alexis Mac Allister,ARG,20,1998,9,4,352,3.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2019-20,Brighton,Alireza Jahanbakhsh,IRN,25,1993,10,3,311,3.5,2,0,2,2,0,0,0,0,0.58,0.0,0.58,0.58,0.58
Premier League,2019-20,Brighton,Bernardo,BRA,24,1995,14,7,679,7.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Premier League,2019-20,Brighton,Dale Stephens,ENG,30,1989,33,28,2530,28.1,0,1,1,0,0,0,8,0,0.0,0.04,0.04,0.0,0.04
Premier League,2019-20,Brighton,Davy Pröpper,NED,27,1991,35,32,2829,31.4,1,2,3,1,0,0,4,0,0.03,0.06,0.1,0.03,0.1
Premier League,2019-20,Brighton,Ezequiel Schelotto,ITA,30,1989,8,4,361,4.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
Premier League,2019-20,Brighton,Jürgen Locadia,CUW,25,1993,2,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2019-20,Brighton,Leandro Trossard,BEL,24,1994,31,22,2011,22.3,5,3,8,5,0,0,0,0,0.22,0.13,0.36,0.22,0.36
Premier League,2019-20,Brighton,Martín Montoya,ESP,28,1991,27,23,1896,21.1,0,1,1,0,0,0,5,0,0.0,0.05,0.05,0.0,0.05
Premier League,2019-20,Brighton,Pascal Groß,GER,28,1991,29,22,1796,20.0,2,4,6,2,0,0,4,0,0.1,0.2,0.3,0.1,0.3
Premier League,2019-20,Brighton,Solly March,ENG,25,1994,19,11,1143,12.7,0,1,1,0,0,0,2,0,0.0,0.08,0.08,0.0,0.08
Premier League,2019-20,Brighton,Steven Alzate,COL,20,1998,19,12,1188,13.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Premier League,2019-20,Brighton,Tariq Lamptey,GHA,18,2000,8,7,588,6.5,0,1,1,0,0,0,2,0,0.0,0.15,0.15,0.0,0.15
Premier League,2019-20,Brighton,Yves Bissouma,MLI,22,1996,22,15,1259,14.0,1,0,1,1,0,0,4,0,0.07,0.0,0.07,0.07,0.07
Premier League,2019-20,Burnley,Aaron Lennon,ENG,32,1987,16,4,496,5.5,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
Premier League,2019-20,Burnley,Ashley Westwood,ENG,29,1990,35,35,3150,35.0,2,6,8,2,0,0,9,0,0.06,0.17,0.23,0.06,0.23
Premier League,2019-20,Burnley,Danny Drinkwater,ENG,29,1990,1,1,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2019-20,Burnley,Dwight McNeil,ENG,19,1999,38,38,3338,37.1,2,6,8,2,0,0,5,0,0.05,0.16,0.22,0.05,0.22
Premier League,2019-20,Burnley,Erik Pieters,NED,30,1988,24,21,1878,20.9,0,4,4,0,0,0,2,0,0.0,0.19,0.19,0.0,0.19
Premier League,2019-20,Burnley,Jack Cork,ENG,30,1989,30,30,2613,29.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Premier League,2019-20,Burnley,Jeff Hendrick,IRL,27,1992,24,22,1931,21.5,2,2,4,2,0,0,8,0,0.09,0.09,0.19,0.09,0.19
Premier League,2019-20,Burnley,Josh Brownhill,ENG,23,1995,10,9,805,8.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
Premier League,2019-20,Burnley,Jóhann Berg Guðmundsson,ISL,28,1990,12,6,621,6.9,1,1,2,1,0,0,0,0,0.14,0.14,0.29,0.14,0.29
Premier League,2019-20,Burnley,Robbie Brady,IRL,27,1992,17,5,454,5.0,1,2,3,1,0,0,1,0,0.2,0.4,0.59,0.2,0.59
Premier League,2019-20,Chelsea,Billy Gilmour,SCO,18,2001,6,2,194,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2019-20,Chelsea,Callum Hudson-Odoi,ENG,18,2000,22,7,863,9.6,1,5,6,1,0,0,1,0,0.1,0.52,0.63,0.1,0.63
Premier League,2019-20,Chelsea,Christian Pulisic,USA,20,1998,25,19,1722,19.1,9,4,13,9,0,0,0,0,0.47,0.21,0.68,0.47,0.68
Premier League,2019-20,Chelsea,César Azpilicueta,ESP,29,1989,36,36,3229,35.9,2,6,8,2,0,0,1,0,0.06,0.17,0.22,0.06,0.22
Premier League,2019-20,Chelsea,Emerson Palmieri,ITA,24,1994,15,13,1024,11.4,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
Premier League,2019-20,Chelsea,Faustino Anjorin,ENG,17,2001,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2019-20,Chelsea,Jorginho,ITA,27,1991,31,27,2379,26.4,4,2,6,1,3,3,10,0,0.15,0.08,0.23,0.04,0.11
Premier League,2019-20,Chelsea,Marcos Alonso,ESP,28,1990,18,15,1430,15.9,4,2,6,4,0,0,4,0,0.25,0.13,0.38,0.25,0.38
Premier League,2019-20,Chelsea,Mason Mount,ENG,20,1999,37,32,2867,31.9,7,5,12,7,0,0,3,0,0.22,0.16,0.38,0.22,0.38
Premier League,2019-20,Chelsea,Mateo Kovačić,CRO,25,1994,31,23,2073,23.0,1,3,4,1,0,0,8,0,0.04,0.13,0.17,0.04,0.17
Premier League,2019-20,Chelsea,N'Golo Kanté,FRA,28,1991,22,20,1732,19.2,3,0,3,3,0,0,4,0,0.16,0.0,0.16,0.16,0.16
Premier League,2019-20,Chelsea,Pedro,ESP,32,1987,11,8,661,7.3,1,1,2,1,0,0,1,0,0.14,0.14,0.27,0.14,0.27
Premier League,2019-20,Chelsea,Reece James,ENG,19,1999,24,16,1515,16.8,0,2,2,0,0,0,1,0,0.0,0.12,0.12,0.0,0.12
Premier League,2019-20,Chelsea,Ross Barkley,ENG,25,1993,21,13,1103,12.3,1,4,5,1,0,0,0,0,0.08,0.33,0.41,0.08,0.41
Premier League,2019-20,Chelsea,Ruben Loftus-Cheek,ENG,23,1996,7,2,208,2.3,0,1,1,0,0,0,0,0,0.0,0.43,0.43,0.0,0.43
Premier League,2019-20,Chelsea,Tariq Lamptey,GHA,18,2000,1,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2019-20,Chelsea,Willian,BRA,30,1988,36,29,2600,28.9,9,7,16,5,4,4,4,0,0.31,0.24,0.55,0.17,0.42
Premier League,2019-20,Crystal Palace,Andros Townsend,ENG,28,1991,24,14,1294,14.4,1,1,2,1,0,0,0,0,0.07,0.07,0.14,0.07,0.14
Premier League,2019-20,Crystal Palace,Brandon Pierrick,ENG,17,2001,2,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2019-20,Crystal Palace,Cheikhou Kouyaté,SEN,29,1989,35,29,2528,28.1,1,1,2,1,0,0,4,0,0.04,0.04,0.07,0.04,0.07
Premier League,2019-20,Crystal Palace,Connor Wickham,ENG,26,1993,6,0,96,1.1,1,1,2,1,0,0,0,0,0.94,0.94,1.87,0.94,1.87
Premier League,2019-20,Crystal Palace,James McArthur,SCO,31,1987,37,37,3090,34.3,0,3,3,0,0,0,6,0,0.0,0.09,0.09,0.0,0.09
Premier League,2019-20,Crystal Palace,James McCarthy,IRL,28,1990,33,16,1680,18.7,0,0,0,0,0,0,9,0,0.0,0.0,0.0,0.0,0.0
Premier League,2019-20,Crystal Palace,Jaïro Riedewald,NED,22,1996,17,7,769,8.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2019-20,Crystal Palace,Jeffrey Schlupp,GHA,26,1992,17,11,1036,11.5,3,1,4,3,0,0,2,0,0.26,0.09,0.35,0.26,0.35
Premier League,2019-20,Crystal Palace,Jordan Ayew,GHA,27,1991,37,37,3148,35.0,9,2,11,9,0,0,6,0,0.26,0.06,0.31,0.26,0.31
Premier League,2019-20,Crystal Palace,Luka Milivojević,SRB,28,1991,31,28,2513,27.9,3,1,4,1,2,2,12,0,0.11,0.04,0.14,0.04,0.07
Premier League,2019-20,Crystal Palace,Max Meyer,GER,23,1995,17,6,655,7.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Premier League,2019-20,Crystal Palace,Víctor Camarasa,ESP,25,1994,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2019-20,Crystal Palace,Wilfried Zaha,CIV,26,1992,38,37,3280,36.4,4,3,7,4,0,0,5,0,0.11,0.08,0.19,0.11,0.19
Premier League,2019-20,Everton,Alex Iwobi,NGA,23,1996,25,19,1596,17.7,1,0,1,1,0,0,0,0,0.06,0.0,0.06,0.06,0.06
Premier League,2019-20,Everton,André Gomes,POR,26,1993,19,17,1458,16.2,0,1,1,0,0,0,6,0,0.0,0.06,0.06,0.0,0.06
Premier League,2019-20,Everton,Anthony Gordon,ENG,18,2001,11,4,440,4.9,0,1,1,0,0,0,0,0,0.0,0.2,0.2,0.0,0.2
Premier League,2019-20,Everton,Bernard,BRA,26,1992,27,15,1280,14.2,3,2,5,3,0,0,2,0,0.21,0.14,0.35,0.21,0.35
Premier League,2019-20,Everton,Djibril Sidibé,FRA,27,1992,25,18,1824,20.3,0,4,4,0,0,0,3,0,0.0,0.2,0.2,0.0,0.2
Premier League,2019-20,Everton,Fabian Delph,ENG,29,1989,16,13,1190,13.2,0,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0
Premier League,2019-20,Everton,Gylfi Sigurðsson,ISL,29,1989,35,28,2560,28.4,2,3,5,1,1,1,3,0,0.07,0.11,0.18,0.04,0.14
Premier League,2019-20,Everton,Jean-Philippe Gbamin,CIV,23,1995,2,1,136,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2019-20,Everton,Leighton Baines,ENG,34,1984,8,4,404,4.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2019-20,Everton,Morgan Schneiderlin,FRA,29,1989,15,12,1001,11.1,0,0,0,0,0,0,6,1,0.0,0.0,0.0,0.0,0.0
Premier League,2019-20,Everton,Oumar Niasse,SEN,29,1990,3,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2019-20,Everton,Richarlison,BRA,22,1997,36,36,3070,34.1,13,3,16,13,0,0,8,0,0.38,0.09,0.47,0.38,0.47
Premier League,2019-20,Everton,Theo Walcott,ENG,30,1989,25,17,1287,14.3,2,3,5,2,0,0,1,0,0.14,0.21,0.35,0.14,0.35
Premier League,2019-20,Everton,Tom Davies,ENG,21,1998,30,23,2027,22.5,1,0,1,1,0,0,8,0,0.04,0.0,0.04,0.04,0.04
Premier League,2019-20,Leicester City,Ayoze Pérez,ESP,26,1993,33,26,2004,22.3,8,4,12,7,1,1,0,0,0.36,0.18,0.54,0.31,0.49
Premier League,2019-20,Leicester City,Christian Fuchs,AUT,33,1986,11,8,772,8.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2019-20,Leicester City,Demarai Gray,JAM,23,1996,21,3,622,6.9,2,3,5,2,0,1,1,0,0.29,0.43,0.72,0.29,0.72
Premier League,2019-20,Leicester City,Dennis Praet,BEL,25,1994,27,12,1134,12.6,1,2,3,1,0,0,2,0,0.08,0.16,0.24,0.08,0.24
Premier League,2019-20,Leicester City,Hamza Choudhury,BAN,21,1997,20,10,893,9.9,1,1,2,1,0,0,4,1,0.1,0.1,0.2,0.1,0.2
Premier League,2019-20,Leicester City,Harvey Barnes,ENG,21,1997,36,24,2083,23.1,6,8,14,6,0,0,0,0,0.26,0.35,0.6,0.26,0.6
Premier League,2019-20,Leicester City,James Justin,ENG,21,1998,13,11,1012,11.2,0,1,1,0,0,0,1,0,0.0,0.09,0.09,0.0,0.09
Premier League,2019-20,Leicester City,James Maddison,ENG,22,1996,31,29,2624,29.2,6,3,9,6,0,0,4,0,0.21,0.1,0.31,0.21,0.31
Premier League,2019-20,Leicester City,Luke Thomas,ENG,18,2001,3,3,267,3.0,0,1,1,0,0,0,0,0,0.0,0.34,0.34,0.0,0.34
Premier League,2019-20,Leicester City,Marc Albrighton,ENG,29,1989,20,9,867,9.6,0,3,3,0,0,0,2,0,0.0,0.31,0.31,0.0,0.31
Premier League,2019-20,Leicester City,Matty James,ENG,28,1991,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2019-20,Leicester City,Nampalys Mendy,SEN,27,1992,7,4,291,3.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2019-20,Leicester City,Wilfred Ndidi,NGA,22,1996,32,29,2674,29.7,2,1,3,2,0,0,6,0,0.07,0.03,0.1,0.07,0.1
Premier League,2019-20,Leicester City,Youri Tielemans,BEL,22,1997,37,32,2828,31.4,3,6,9,3,0,0,2,0,0.1,0.19,0.29,0.1,0.29
